"0,24565; 2005; Jul Average; Morocco; MAR";0,24565;Jul Average;Morocco;Mar
"5,01047; 2005; Aug Average; Morocco; MAR";5,01047;Aug Average;Morocco;Mar
"8,07991; 2005; Sep Average; Morocco; MAR";8,07991;Sep Average;Morocco;Mar
"28,0349; 2005; Oct Average; Morocco; MAR";28,0349;Oct Average;Morocco;Mar
"45,4064; 2005; Nov Average; Morocco; MAR";45,4064;Nov Average;Morocco;Mar
"44,0422; 2005; Dec Average; Morocco; MAR";44,0422;Dec Average;Morocco;Mar
"83,9204; 2006; Jan Average; Morocco; MAR";83,9204;Jan Average;Morocco;Mar
"47,5228; 2006; Feb Average; Morocco; MAR";47,5228;Feb Average;Morocco;Mar
"22,2005; 2006; Mar Average; Morocco; MAR";22,2005;Mar Average;Morocco;Mar
"26,4224; 2006; Apr Average; Morocco; MAR";26,4224;Apr Average;Morocco;Mar
"39,0846; 2006; May Average; Morocco; MAR";39,0846;May Average;Morocco;Mar
"5,10695; 2006; Jun Average; Morocco; MAR";5,10695;Jun Average;Morocco;Mar
"3,72319; 2006; Jul Average; Morocco; MAR";3,72319;Jul Average;Morocco;Mar
"1,90831; 2006; Aug Average; Morocco; MAR";1,90831;Aug Average;Morocco;Mar
"13,5389; 2006; Sep Average; Morocco; MAR";13,5389;Sep Average;Morocco;Mar
"30,9355; 2006; Oct Average; Morocco; MAR";30,9355;Oct Average;Morocco;Mar
"23,2842; 2006; Nov Average; Morocco; MAR";23,2842;Nov Average;Morocco;Mar
"35,5301; 2006; Dec Average; Morocco; MAR";35,5301;Dec Average;Morocco;Mar
"23,0283; 2007; Jan Average; Morocco; MAR";23,0283;Jan Average;Morocco;Mar
"24,5495; 2007; Feb Average; Morocco; MAR";24,5495;Feb Average;Morocco;Mar
"14,828; 2007; Mar Average; Morocco; MAR";14,828;Mar Average;Morocco;Mar
"54,0784; 2007; Apr Average; Morocco; MAR";54,0784;Apr Average;Morocco;Mar
"10,406; 2007; May Average; Morocco; MAR";10,406;May Average;Morocco;Mar
"0,11949; 2007; Jun Average; Morocco; MAR";0,11949;Jun Average;Morocco;Mar
"2,13535; 2007; Jul Average; Morocco; MAR";2,13535;Jul Average;Morocco;Mar
"7,27834; 2007; Aug Average; Morocco; MAR";7,27834;Aug Average;Morocco;Mar
"10,3741; 2007; Sep Average; Morocco; MAR";10,3741;Sep Average;Morocco;Mar
"28,9574; 2007; Oct Average; Morocco; MAR";28,9574;Oct Average;Morocco;Mar
"40,3545; 2007; Nov Average; Morocco; MAR";40,3545;Nov Average;Morocco;Mar
"16,134; 2007; Dec Average; Morocco; MAR";16,134;Dec Average;Morocco;Mar
"29,8084; 2008; Jan Average; Morocco; MAR";29,8084;Jan Average;Morocco;Mar
"55,6416; 2008; Feb Average; Morocco; MAR";55,6416;Feb Average;Morocco;Mar
"17,2634; 2008; Mar Average; Morocco; MAR";17,2634;Mar Average;Morocco;Mar
